,dataset,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds,avg_specificity,specificity_folds,learner
1,imdb,gross,0.7151712974403948,"[0.733403511154878, 0.6623266078184111, 0.7337283217024805, 0.7113756211337592, 0.7350224253924444]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]",0.6423136980255825,"[0.667022792022792, 0.6016014298480786, 0.5130102040816327, 0.709277703381319, 0.7206563607940902]",0.5972756849528693,"[0.607287468245106, 0.6305353627796311, 0.35238882163733926, 0.6974244587415426, 0.6987423133607278]",0.6593304271404238,"[0.6600336823152323, 0.6617503848207835, 0.5541317949784769, 0.7074073766957445, 0.7133288968918813]",GaussianNB
4,mushroom,habitat,0.6775231823189173,"[0.6826224306695955, 0.6711722607343003, 0.674223316939537, 0.6864292013101537, 0.6731687019410001]",0.8439442903922583,"[0.8450990364025696, 0.8449457621478297, 0.8399416947015839, 0.8487453999194986, 0.8409895587898091]",0.6963358828964382,"[0.6960061685537484, 0.6934676178182109, 0.6953678832341937, 0.7042489734621497, 0.692588771413888]",0.8032508558022509,"[0.8034038952084858, 0.8050552047389566, 0.7969794498487347, 0.8106100301813037, 0.8002056990337731]",0.9327260508044948,"[0.9329562653552029, 0.9320874328921364, 0.9316305935655004, 0.9351577922322155, 0.9317981699774182]",GaussianNB
7,census,workclass,0.1701935412462299,"[0.1720357607362884, 0.1715308794673874, 0.1706652740942445, 0.1768293773811956, 0.15990641455203378]",0.1771160952821109,"[0.1573609774283686, 0.16257327054191364, 0.16272402211110992, 0.244428463544249, 0.15849374278491377]",0.146380531693344,"[0.1449029897859258, 0.15110371245672424, 0.1492132647448053, 0.14025425762665264, 0.14642843385261214]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8625102510536609,"[0.862325222682486, 0.8627651520277778, 0.862785312430077, 0.8621742669111981, 0.8625013012167655]",GaussianNB
10,bank,housing,0.5166327875093408,"[0.5508274231678487, 0.49248663101604273, 0.5288844621513944, 0.5225400324901369, 0.48842538872128105]",0.507044900600055,"[0.5163029741342995, 0.4970458368376787, 0.5177726120033812, 0.508314072932717, 0.4957890070921986]",0.4374894317313137,"[0.4319852941176471, 0.4180272584976012, 0.4797979797979798, 0.4417043079619767, 0.415932318281364]",0.3285251820079813,"[0.3119492366203015, 0.30795795044626045, 0.41424344670265417, 0.31560794009995147, 0.29286733617073907]",0.507044900600055,"[0.5163029741342995, 0.4970458368376787, 0.5177726120033812, 0.508314072932717, 0.4957890070921986]",GaussianNB
13,intention,SpecialDay,0.2622737378382669,"[0.25436479570187603, 0.266162233885498, 0.2591350166258288, 0.25436462457967934, 0.2773420183984523]",0.4539193826970657,"[0.4537484239282712, 0.45671857448965886, 0.4420576650746188, 0.4415209792874986, 0.4755512707052811]",0.2834308887516565,"[0.27921799022392835, 0.28813885342965356, 0.27528854872676356, 0.27869640217236386, 0.29581264920557315]",0.273229606366063,"[0.26095673532038044, 0.2830593536852589, 0.24957818471065005, 0.26042013328368924, 0.31213362483033663]",0.9512990456861964,"[0.9518680659851376, 0.951795027985688, 0.9493731934589263, 0.949594924696938, 0.9538640163042932]",GaussianNB
16,anuran,Species,0.8218534252854137,"[0.8600351896585676, 0.7995643304717601, 0.8416832473355059, 0.7778072546013525, 0.8301771043598821]",0.8255411863879754,"[0.8389813936856036, 0.8112399159482022, 0.8233500404181129, 0.799788143383384, 0.8543464385045741]",0.810947250310182,"[0.839289277603406, 0.7909324799290566, 0.8172266502757726, 0.7740296248308571, 0.8332582189118174]",0.8089176362940134,"[0.8173853487081125, 0.7939459345424351, 0.8037658268089851, 0.7809521407615841, 0.8485389306489495]",0.9900670092574464,"[0.9911710411887931, 0.9889266984537673, 0.9902006672556446, 0.9893537293184778, 0.9906829100705494]",GaussianNB
19,telco,PaymentMethod,0.371118947688637,"[0.3544349900021648, 0.4304073540014419, 0.3220750930911238, 0.3510737747058531, 0.3976035266426014]",0.3605294649893289,"[0.36981857082965897, 0.3508068449703775, 0.35883258428305753, 0.35721165913259545, 0.3659776657309552]",0.280692000469081,"[0.29070513044117513, 0.26946702391840216, 0.27055288257851595, 0.27479370948596993, 0.2979412559213422]",0.057199110437155,"[0.0, 0.0852464671330248, 0.0, 0.0730632129186006, 0.12768587213414984]",0.7921118809018989,"[0.7937140293529965, 0.7885593371024026, 0.7902359663488998, 0.7906340703529967, 0.7974160013521989]",GaussianNB
22,paris,hasStorageRoom,0.5051787684397064,"[0.5145, 0.4902102007085791, 0.5209454492653665, 0.49739023899033297, 0.5028479532342537]",0.5052381931353073,"[0.5145139479039357, 0.4905936613718094, 0.5207773189936624, 0.4975115122564023, 0.5027945251507263]",0.5022248700664852,"[0.5143833305951755, 0.4852561204056585, 0.5201264820231708, 0.49080570903789555, 0.5005527082705257]",0.4995208648524016,"[0.5145137511753625, 0.4805125514731498, 0.5188149065324295, 0.4856554630608462, 0.4981076520202204]",0.5052381931353073,"[0.5145139479039357, 0.4905936613718094, 0.5207773189936624, 0.4975115122564023, 0.5027945251507263]",GaussianNB
25,smoking,dental caries,0.5359679526503485,"[0.5377929141072231, 0.5446205651624983, 0.5310819154310222, 0.527590372767825, 0.5387539957831735]",0.532380064840883,"[0.5370981828673106, 0.5413527903648672, 0.5273973303852926, 0.5265809075877944, 0.5294711129991504]",0.5330474699180769,"[0.5374197264090037, 0.5425607216081056, 0.5281927111030651, 0.5269845285405477, 0.5300796619296625]",0.4426820483944382,"[0.46305634051468464, 0.4617378372507059, 0.43292305908047457, 0.44673191933475515, 0.40896108579157076]",0.532380064840883,"[0.5370981828673106, 0.5413527903648672, 0.5273973303852926, 0.5265809075877944, 0.5294711129991504]",GaussianNB
28,flight,Class,0.5032197901479912,"[0.5011904217043832, 0.5033278413958886, 0.503434125074901, 0.5044427548040168, 0.5037038077607666]",0.5420816663077906,"[0.5388824308501969, 0.5428323472208187, 0.5421508207362078, 0.5448808359307412, 0.5416618968009885]",0.5216337515843545,"[0.5190442803070252, 0.5220739436706952, 0.5217547951140512, 0.5235840179486, 0.5217117208814016]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8478293438331223,"[0.8456573290556547, 0.8479109532963168, 0.8480353620770428, 0.8493883437601418, 0.8481547309764551]",GaussianNB
1,imdb,gross,0.7455173159295833,"[0.7667903979977508, 0.7452137287663603, 0.71086410988757, 0.7481123891530652, 0.7566059538431702]",0.7350614523079079,"[0.7448758643704745, 0.7212955109477586, 0.7043854315021363, 0.7561361902550665, 0.748614264464104]",0.7386428190729604,"[0.7526774193548387, 0.7294555737314119, 0.7072509558899676, 0.7517154048967292, 0.7521147414918541]",0.7261303460699736,"[0.7338347748686649, 0.7065790252259142, 0.6948593580372601, 0.7529173087266787, 0.74246126349135]",0.7350614523079079,"[0.7448758643704745, 0.7212955109477586, 0.7043854315021363, 0.7561361902550665, 0.748614264464104]",KNeighborsClassifier
4,mushroom,habitat,0.5602195324953466,"[0.5688274265567205, 0.5560894182895681, 0.5653659538548341, 0.5652630254270404, 0.5455518383485699]",0.555137377558286,"[0.571485117364335, 0.5657683875551197, 0.5686463800593399, 0.5482098709405148, 0.5215771318721204]",0.5530365195361681,"[0.567611147308581, 0.5558166019007539, 0.5644398473080036, 0.5476213476473081, 0.5296936535161936]",0.4514526756396004,"[0.47463607877005065, 0.457417386422746, 0.4745223168408961, 0.4343036855676608, 0.416383910596649]",0.9089975738390574,"[0.909592270336172, 0.9102974597281138, 0.9104450372611942, 0.9076669618534989, 0.9069861400163081]",KNeighborsClassifier
7,census,workclass,0.1756419889077887,"[0.1683756267271812, 0.17181710693741156, 0.1850848135797917, 0.1817423903158035, 0.17119000697875555]",0.1478137530796713,"[0.1467938452120782, 0.14738914935137964, 0.148132505683928, 0.14984099750180854, 0.1469122676491624]",0.1381513811157158,"[0.1362745767472876, 0.13756628596268475, 0.13928564810506344, 0.141461856512412, 0.13616853825113157]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8588053101033101,"[0.8589038535095961, 0.8585399010713439, 0.8591005669952626, 0.8586018706816553, 0.8588803582586924]",KNeighborsClassifier
10,bank,housing,0.5060927815510704,"[0.5124513024215109, 0.4873867908407382, 0.5251786541923106, 0.5277860082304526, 0.47766115207034]",0.505792052321493,"[0.5120165978599713, 0.48758410428931875, 0.5246830092983938, 0.5270929635336415, 0.47758358662613976]",0.5050899074540666,"[0.5101508143870146, 0.4867435463393991, 0.5241885854492851, 0.526805788914051, 0.47756080218058283]",0.4992652176613538,"[0.5022696821431041, 0.48248332592759074, 0.5182632418255775, 0.5169610805217183, 0.47634875788877806]",0.505792052321493,"[0.5120165978599713, 0.48758410428931875, 0.5246830092983938, 0.5270929635336415, 0.47758358662613976]",KNeighborsClassifier
13,intention,SpecialDay,0.2551832958598773,"[0.14840843323687475, 0.20408679262630444, 0.2333884753239592, 0.48409090909090907, 0.20594186902133924]",0.1693599924280863,"[0.16635773864689526, 0.16873869102784766, 0.17014887527267172, 0.17256766929020098, 0.16898698790281588]",0.1633703964429097,"[0.15687131308717503, 0.16150610075604463, 0.16503430172280678, 0.17024690006532514, 0.1631933665831971]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8346495468150075,"[0.8341562394839143, 0.8353382471244548, 0.8349596464522363, 0.8345541182470755, 0.834239482767356]",KNeighborsClassifier
16,anuran,Species,0.968903875994538,"[0.9796874900396799, 0.9539772423550638, 0.9738946818116775, 0.9637789421105815, 0.9731810236556873]",0.9501223422895902,"[0.9394925711766746, 0.9587557195553409, 0.9498483514854049, 0.9443798367494074, 0.9581352324811234]",0.9580731517979668,"[0.9563545695320137, 0.9544756238076767, 0.9609088897521273, 0.9533356643888441, 0.9652910115091728]",0.9476103225501082,"[0.9347487963923978, 0.9575863744522832, 0.9471438819083211, 0.9413414816109484, 0.9572310783865909]",0.9980573201673164,"[0.9980760191487053, 0.9978802636798051, 0.9981286285870743, 0.9980718616456514, 0.9981298277753454]",KNeighborsClassifier
19,telco,PaymentMethod,0.3908648283607722,"[0.3771277248849739, 0.38063922972413977, 0.3967699415532858, 0.4071534436645886, 0.3926338019768729]",0.3814417528717508,"[0.36914514315668884, 0.3729638048378258, 0.38752497632977373, 0.39836157036067005, 0.379213269673796]",0.3836545210063921,"[0.3708659124724232, 0.3749480181429587, 0.38916130227862816, 0.40143669750225963, 0.3818606746356905]",0.3693775053562301,"[0.35677204246805294, 0.361730444123157, 0.376435261110181, 0.3858176224296086, 0.3661321566501512]",0.7979995582116547,"[0.7929349355535178, 0.7942273051543501, 0.7996140726225075, 0.8038220403460911, 0.7993994373818066]",KNeighborsClassifier
22,paris,hasStorageRoom,0.5168712225752266,"[0.5081326844262295, 0.5095030095030095, 0.5223997855637603, 0.5263221153846154, 0.517998517998518]",0.5168649418727529,"[0.5081358185215993, 0.5095033421203163, 0.5224017348441201, 0.5262851518897704, 0.517998661987958]",0.5167884986274136,"[0.5081280218164987, 0.5094969343558398, 0.5223995845126437, 0.5259198804597978, 0.5179980719922881]",0.5167516016376235,"[0.5079999995113414, 0.5095030376361194, 0.5223656321567648, 0.5258908689037824, 0.5179984699801092]",0.5168649418727529,"[0.5081358185215993, 0.5095033421203163, 0.5224017348441201, 0.5262851518897704, 0.517998661987958]",KNeighborsClassifier
25,smoking,dental caries,0.5119905236845069,"[0.5279558655139434, 0.5147009122349303, 0.5076117438333428, 0.5072797252556187, 0.5024043715846995]",0.5048610533935377,"[0.5111809853535701, 0.5063034961673016, 0.5028412277094471, 0.5029554650076695, 0.5010240927297002]",0.4867424128742936,"[0.49525456123274947, 0.4899479265776827, 0.48128377983276105, 0.4836661516601946, 0.48355964506808014]",0.2746326843137751,"[0.2890361043535121, 0.2857484635073241, 0.2600471929442518, 0.2708402943029792, 0.26749136646080823]",0.5048610533935377,"[0.5111809853535701, 0.5063034961673016, 0.5028412277094471, 0.5029554650076695, 0.5010240927297002]",KNeighborsClassifier
28,flight,Class,0.495332289582774,"[0.5183794234908731, 0.4995613977696208, 0.47837880113864206, 0.4843505547273359, 0.49599127078739813]",0.4869960488322135,"[0.48846206951278326, 0.48776538464173647, 0.48480986387323854, 0.48700408088308356, 0.48693884525022596]",0.4727965043912466,"[0.47636011280071394, 0.47380184732362673, 0.4698621414445636, 0.47130222863174015, 0.47265619175558865]",0.1694185029143877,"[0.20006157821940612, 0.18219828006022046, 0.14970165524051257, 0.152378638838047, 0.16275236221375253]",0.7989467360194237,"[0.7991734371184035, 0.7987937589780173, 0.7981148794926286, 0.7991186741391137, 0.799532930368955]",KNeighborsClassifier
1,imdb,gross,0.7690498232673686,"[0.7527737226277372, 0.7879842542364746, 0.7491555145362252, 0.7581847997969662, 0.7971508251394399]",0.7257300207777704,"[0.7150080325337017, 0.7355652938774229, 0.7159991038709574, 0.7193273408736608, 0.7427503327331089]",0.7380865881616276,"[0.7251273193083131, 0.7495516130201769, 0.7265134099616859, 0.7322097753552034, 0.7570308231627596]",0.7041335326012312,"[0.6939481082881386, 0.7126604375986627, 0.6963489253692607, 0.6972223049968785, 0.7204878867532158]",0.7257300207777704,"[0.7150080325337017, 0.7355652938774229, 0.7159991038709574, 0.7193273408736608, 0.7427503327331089]",LinearDiscriminantAnalysis
4,mushroom,habitat,0.7389398245480353,"[0.7348975749655517, 0.735713974246193, 0.7392672218447097, 0.74362623624227, 0.7411941154414522]",0.8581943368883606,"[0.8666543748224221, 0.8647383417563602, 0.8523472371863937, 0.8610661884499645, 0.846165542226662]",0.729431456951908,"[0.7293264067110291, 0.730396510501036, 0.7295283275577668, 0.7352016265594846, 0.7227044134302232]",0.8229151410378946,"[0.8283232418302346, 0.8298112219197002, 0.8164636632893001, 0.8276176909388777, 0.8123598872113602]",0.9501320217697884,"[0.9478583290870671, 0.9513344854221303, 0.9503710981880394, 0.9508835221873423, 0.9502126739643632]",LinearDiscriminantAnalysis
7,census,workclass,0.3546557287690241,"[0.354945037085618, 0.3346114771898846, 0.36443731578689537, 0.3471605907504452, 0.37212422303227755]",0.2315209960879351,"[0.22400083304990684, 0.23666593890494217, 0.21961952221778994, 0.2454155184015263, 0.23190316786551057]",0.2422430763519238,"[0.24266545831267614, 0.23078772858761212, 0.2388809964606402, 0.24458455045066033, 0.25429664794803014]",0.0495688561408458,"[0.0, 0.11818346281599283, 0.0, 0.12966081788823647, 0.0]",0.8817753800214122,"[0.8806321186331586, 0.8804180657301057, 0.881742920381938, 0.8818277876858254, 0.8842560076760336]",LinearDiscriminantAnalysis
10,bank,housing,0.5395558289589164,"[0.5458631256384066, 0.5689351378958121, 0.5271312403761723, 0.5370228229452753, 0.5188268179389156]",0.5329299190497967,"[0.5378296402392788, 0.556759882253995, 0.5225274725274724, 0.5330315870570108, 0.514501013171226]",0.5197547887881894,"[0.5238297302126139, 0.5426348824786325, 0.5096104507869214, 0.5285988505136924, 0.49410002994908647]",0.4898848431187437,"[0.495493211479185, 0.5162518569603121, 0.4792393240024546, 0.5041133661290355, 0.454326457022731]",0.5329299190497967,"[0.5378296402392788, 0.556759882253995, 0.5225274725274724, 0.5330315870570108, 0.514501013171226]",LinearDiscriminantAnalysis
13,intention,SpecialDay,0.2676280790408953,"[0.277762265144794, 0.2496926787971564, 0.25133562014246197, 0.27218175938251254, 0.2871680717375517]",0.2238665401757014,"[0.22330687950613304, 0.2341328370477224, 0.21768330696474944, 0.23194737029735105, 0.21226230706255103]",0.2307629095035663,"[0.229862235699644, 0.23664069293649573, 0.22641189910831702, 0.23723306400315913, 0.22366665577021563]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.851895781046401,"[0.8484683305185992, 0.8518779112925882, 0.8527463831304947, 0.8497337638714765, 0.8566525164188468]",LinearDiscriminantAnalysis
16,anuran,Species,0.8626541815243052,"[0.8800501967837017, 0.8562174193083688, 0.8708279311308683, 0.8181377453135241, 0.8880376150850624]",0.8676366931411821,"[0.8580496184038686, 0.8869681655769677, 0.8614145816505971, 0.8443015435188593, 0.8874495565556169]",0.8574846328374364,"[0.8601328559636434, 0.867720662413736, 0.8601020366510946, 0.8200956265333401, 0.8793719826253676]",0.8475655889422773,"[0.8276911070095312, 0.8793166015506935, 0.8443496231979503, 0.8078404216180315, 0.8786301913351803]",0.9933962384225192,"[0.993775991743688, 0.9929245372897085, 0.9932313322700521, 0.9933877472695315, 0.9936615835396159]",LinearDiscriminantAnalysis
19,telco,PaymentMethod,0.4327495866368364,"[0.45019075976107226, 0.43006463623999036, 0.4462430415213177, 0.43116765194682405, 0.40608184371497735]",0.4378039928044474,"[0.45354140213577393, 0.4332357871418675, 0.4493689547640345, 0.4408892250189925, 0.4119845949615686]",0.4273869404251339,"[0.44152657818893426, 0.42336058150357103, 0.43808157892913313, 0.42869459241211494, 0.40527137109191647]",0.3875492340204514,"[0.4029849352670382, 0.3812053302696855, 0.40489198905721346, 0.38441754009796136, 0.3642463754103583]",0.8194721792558479,"[0.8233168673418578, 0.8186474312007623, 0.8207850135216583, 0.8214044013137971, 0.8132071829011642]",LinearDiscriminantAnalysis
22,paris,hasStorageRoom,0.5088224504058447,"[0.5114128589584759, 0.5018283974687459, 0.5232233226737868, 0.49770315734989645, 0.5099445155783184]",0.5088079216215986,"[0.5114064616096068, 0.5018090651263445, 0.5231939376480379, 0.4977275546007017, 0.5099025891233021]",0.5080555484435267,"[0.5114014667968261, 0.5003246386312202, 0.5231393741517023, 0.4959793582003557, 0.5094329044375299]",0.5073850216173758,"[0.511047927649614, 0.4991582611987004, 0.5228441275287626, 0.49500709719876773, 0.5088676945110336]",0.5088079216215986,"[0.5114064616096068, 0.5018090651263445, 0.5231939376480379, 0.4977275546007017, 0.5099025891233021]",LinearDiscriminantAnalysis
25,smoking,dental caries,0.5182404434078234,"[0.519128213764455, 0.8927048260381594, 0.39157032214614435, 0.3915141991244809, 0.3962846559658772]",0.5000197335236785,"[0.5000514173224544, 0.5002613695765813, 0.49992834623101173, 0.49992833596101477, 0.49992919852732937]",0.4404151065789657,"[0.44124189586629886, 0.44042691663060507, 0.43916409643104426, 0.43912879264761423, 0.4421138313192661]",0.0091758071345075,"[0.023015546149663727, 0.02286348952287406, 0.0, 0.0, 0.0]",0.5000197335236785,"[0.5000514173224544, 0.5002613695765813, 0.49992834623101173, 0.49992833596101477, 0.49992919852732937]",LinearDiscriminantAnalysis
28,flight,Class,0.5184219544143757,"[0.5184681250532335, 0.5186669039678744, 0.5194217272189773, 0.5174441098309508, 0.5181089060008424]",0.5589099956498472,"[0.5579560252689766, 0.5599850272789096, 0.5598099399935326, 0.5592941949833404, 0.557504790724477]",0.5378999409409081,"[0.5374833319558349, 0.5385268662708654, 0.5388509788729562, 0.5375531680683215, 0.5370853595365624]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8625249637065833,"[0.8623133844655192, 0.8627770928340256, 0.8634554088638463, 0.8619917234003666, 0.8620872089691591]",LinearDiscriminantAnalysis
1,imdb,gross,0.5284179767095695,"[0.8214765100671141, 0.32486631016042783, 0.33065595716198126, 0.34203480589022756, 0.8230563002680965]",0.5014926001262537,"[0.5055762081784386, 0.5, 0.5, 0.5, 0.5018867924528302]",0.3993488767023298,"[0.40236928104575165, 0.3938411669367909, 0.3980660757453666, 0.4062003179650238, 0.3962675418187162]",0.0334069026509419,"[0.10560500157131444, 0.0, 0.0, 0.0, 0.061429511683395124]",0.5014926001262537,"[0.5055762081784386, 0.5, 0.5, 0.5, 0.5018867924528302]",LogisticRegression
4,mushroom,habitat,0.613951951084382,"[0.6312366474575427, 0.6026479887762136, 0.6182287210967459, 0.6196791177280107, 0.5979672803633973]",0.6140563584725017,"[0.6390315654364739, 0.6000596551197971, 0.6113804827057098, 0.6322261853951995, 0.5875839037053284]",0.6096380274887003,"[0.6314565572094912, 0.5879722304715119, 0.6144922538253244, 0.6234395535496222, 0.5908295423875517]",0.5521308257807481,"[0.596546047469457, 0.49791957363368844, 0.561344019221498, 0.5703712276549525, 0.5344732609241445]",0.9254279144266816,"[0.9283964775790895, 0.9199336806598751, 0.9253027211882521, 0.9298494922973739, 0.9236572004088179]",LogisticRegression
7,census,workclass,0.139367021529382,"[0.1409691106853913, 0.1560459664517764, 0.13704582608237093, 0.1392000579340186, 0.12357414649335297]",0.1444274691110151,"[0.14442272952167592, 0.14559362025135766, 0.14368361566715462, 0.1449250208034965, 0.14351235931139078]",0.1244540488639492,"[0.12452056864230816, 0.12716205051785764, 0.12301183384151781, 0.12539211806570394, 0.12218367325235842]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8574350141641778,"[0.85730621244423, 0.857663124881137, 0.8572686469250039, 0.8574792334474581, 0.8574578531230594]",LogisticRegression
