,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
18,telco,target1,Churn,0.7415952900519782,"[0.7282693338307618, 0.7501382790893892, 0.7365802442682665, 0.7745016129406577, 0.7184869801308158]",0.7119465032083802,"[0.707807715530254, 0.7044349947004813, 0.7091558900788038, 0.749551659387725, 0.6887822563446364]",0.7233962740594664,"[0.7165348228897422, 0.7201292102206737, 0.7198584048559891, 0.7602228842546618, 0.7002360480762652]",0.6879169477935729,"[0.6853880362638309, 0.6745104210178321, 0.6869706489065472, 0.7335770750374979, 0.6591385577421564]"
19,telco,target3,PaymentMethod,0.42157914621153764,"[0.42029552979518436, 0.4252252742571407, 0.4308820037986705, 0.4142570281124498, 0.41723589509424275]",0.4308503395353225,"[0.4276709471565272, 0.4393576781808881, 0.4375376914704139, 0.4192575980617198, 0.4304277828070636]",0.4185647358641825,"[0.41709226897816476, 0.4236392919097668, 0.4258260156062915, 0.40825580091666125, 0.4180103019100282]",0.3748377782867713,"[0.3761900014394022, 0.3824278075305645, 0.3759686577911409, 0.3599364947137049, 0.37966592995904386]"
20,telco,target2,Contract,0.6617076186947177,"[0.6675371347502495, 0.6695053813063471, 0.6726880562763462, 0.6452788746252008, 0.6535286465154452]",0.6575400241077968,"[0.6638989065166738, 0.6670652238001201, 0.6599834638506369, 0.6474858711865674, 0.6492666551849852]",0.655716409683984,"[0.6611641760076901, 0.6645148751015336, 0.6591965936866676, 0.645395949074879, 0.6483104545491502]",0.6058122183916854,"[0.6132510830460494, 0.6152002278402225, 0.6054242138896694, 0.6010125086350944, 0.5941730585473913]"
21,paris,target1,category,0.6768689239400755,"[0.6657128368588815, 0.6630335681723996, 0.6857665400049717, 0.6719804318488529, 0.6978512428152716]",0.540385739118213,"[0.5192885375494072, 0.5693523820269089, 0.5488349079502595, 0.5195198537207627, 0.5449330143437264]",0.5426294095924244,"[0.5054414827471386, 0.5868541862607144, 0.5594540095057647, 0.5101851766458751, 0.551212192802629]",0.29871981461020825,"[0.21647554152617657, 0.40523747927018305, 0.33584759479681253, 0.21464216378735235, 0.32139629367051664]"
22,paris,target3,hasStorageRoom,0.510869840020591,"[0.5255336039915923, 0.4979394608356564, 0.5128912891289129, 0.5113247167813177, 0.5066601293654758]",0.5106965580752948,"[0.5248324832483249, 0.4979536541675543, 0.5128962417810221, 0.5112394046185662, 0.5065610065610066]",0.5092815266069183,"[0.5210862889821676, 0.4973175652428425, 0.5128752960757954, 0.5104414520296511, 0.5046870307041349]",0.5079009471511297,"[0.518188046837428, 0.4961769909835385, 0.5128745572854743, 0.5093911476029842, 0.5028739930462232]"
23,paris,target2,isNewBuilt,0.5082093020949298,"[0.5006948098311552, 0.5088713661964319, 0.5258902584357315, 0.5070680725138736, 0.4985220034974571]",0.5081807354229839,"[0.5006883965163935, 0.5088165642601126, 0.5258036272670419, 0.5070690905453727, 0.4985259985259985]",0.5073345399446598,"[0.49879518072289153, 0.5078798055249127, 0.5248284630751702, 0.5069955629600666, 0.49817368744025803]",0.5070450592043413,"[0.49823386527119345, 0.5072755356036968, 0.5248201097445153, 0.5070481703108478, 0.49784761509145325]"
24,smoking,target1,smoking,0.7261112472780369,"[0.7241412713314506, 0.7262863349487774, 0.7238921676199086, 0.7240111855758763, 0.7322252769141713]",0.7410634876729583,"[0.7378984743859616, 0.7425441628833147, 0.7404662141351992, 0.7374552239512995, 0.7469533630090164]",0.7277857426337675,"[0.7260469804618765, 0.7292380037882773, 0.7242274870863663, 0.7254447794572791, 0.7339714623750389]",0.740836355043194,"[0.7378101066694377, 0.7425182953517131, 0.7398390425130493, 0.7372848722088923, 0.7467294584728781]"
25,smoking,target3,dental caries,0.4682517193188575,"[0.39272482317278545, 0.7703070618614573, 0.3956228956228956, 0.38928170594837264, 0.39332210998877665]",0.5000892582196321,"[0.4997142857142857, 0.5007320053838746, 0.5, 0.5, 0.5]",0.44053658189887673,"[0.439806374552084, 0.4431072662969215, 0.4417293233082707, 0.437748469741907, 0.44029147559520065]",0.008014406254049705,"[0.0, 0.040072031270248526, 0.0, 0.0, 0.0]"
26,smoking,target2,tartar,0.557103165041908,"[0.5557928030568822, 0.5651725477750815, 0.564130193065804, 0.5532154760998496, 0.5472048052119227]",0.5289422845700557,"[0.5274263382816015, 0.5330658467076647, 0.5323909955237998, 0.5277005942297714, 0.5241276481074413]",0.48118309597494247,"[0.47753782527068284, 0.48622027495923215, 0.48544098611382236, 0.48201472260308903, 0.47470167092788584]",0.39654081030638855,"[0.389508408684122, 0.40250270830236085, 0.4008342534570157, 0.3988589405820566, 0.39099974050638764]"
27,flight,target1,satisfaction,0.8512921751855235,"[0.8508978712383242, 0.8500083096616196, 0.8522082771615819, 0.8527656242186443, 0.8505807936474471]",0.8500032753926614,"[0.8493484444775076, 0.8488291828806152, 0.8510824581121907, 0.8517230359122978, 0.8490332555806961]",0.8506080261454994,"[0.8500655850838281, 0.8493835091329539, 0.8516186859934607, 0.8522192498013899, 0.8497531007158634]",0.849598344732368,"[0.8489130207957528, 0.8484534557014001, 0.8506830433868395, 0.8513603076069122, 0.8485818961709352]"
28,flight,target3,Class,0.5185365428033983,"[0.5203327364354258, 0.5168029231497309, 0.5182963818836792, 0.5193758938462306, 0.5178747787019252]",0.5590243718167104,"[0.5605260044595731, 0.557556222246463, 0.5590396949909465, 0.5594718978940211, 0.5585280394925483]",0.5380134063156651,"[0.539681201980701, 0.5364024478388543, 0.5378965432914747, 0.5386787729154877, 0.5374080655518076]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
29,flight,target2,Customer Type,0.8169317248122843,"[0.817630904172034, 0.8151181952840071, 0.8141928871184134, 0.8199186436970257, 0.8177979937899408]",0.7637465020884628,"[0.7583133521719243, 0.7658529756727233, 0.7631486242260342, 0.7653389730589579, 0.7660785853126744]",0.7858780181970472,"[0.7824119081722164, 0.78663041575267, 0.7846005649333008, 0.7880082486507409, 0.7877389534763075]",0.7404542371912713,"[0.7330163574673041, 0.7436529163725473, 0.739831900604358, 0.7422084951226234, 0.7435615163895236]"
