,dataset,target,target_name,avg_precision,precision_folds,avg_recall,recall_folds,avg_f1,f1_folds,avg_geometric_mean,geometric_mean_folds
10,bank,target3,housing,0.5280976053170805,"[0.4790872107805746, 0.5157512626262626, 0.5672090984930884, 0.54376590599491, 0.5346745486905671]",0.5282028011077303,"[0.479178313380096, 0.5158706599522926, 0.5679119049905567, 0.5436699857752489, 0.5343831414404572]",0.5279555298528349,"[0.47907082440420357, 0.5155806692548675, 0.5672636224749619, 0.5436949527978482, 0.5341675803322932]",0.5263136810088953,"[0.4759940425773922, 0.5148625913198888, 0.5667648574315518, 0.5420517834353089, 0.5318951302803345]"
11,bank,target2,loan,0.41796116504854364,"[0.41423948220064727, 0.4134304207119741, 0.42394822006472493, 0.42475728155339804, 0.4134304207119741]",0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]",0.45529698542610164,"[0.4530973451327434, 0.4526129317980514, 0.4588441330998249, 0.4593175853018373, 0.4526129317980514]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
12,intention,target1,Revenue,0.7624018087006743,"[0.7637667481651511, 0.7674690946142124, 0.7565666558658679, 0.7730073348501436, 0.7511992100079965]",0.8005445689386199,"[0.7957986364340948, 0.8021454036159918, 0.8010560959101731, 0.7984781541482573, 0.8052445545845832]",0.7788234137529377,"[0.7780271231381859, 0.7827932872825245, 0.7755353238349709, 0.7846733449793055, 0.7730879895297023]",0.7931687268540295,"[0.787525445343001, 0.7947545757983925, 0.793815230052317, 0.7897011039204918, 0.8000472791559453]"
13,intention,target3,SpecialDay,0.14949001053761704,"[0.1490721649484536, 0.15008942082817445, 0.1496767093135232, 0.14852233676975946, 0.15008942082817445]",0.16659026300782848,"[0.16666666666666666, 0.1665140415140415, 0.1665136210590756, 0.16666666666666666, 0.166590319132692]",0.1575767992765594,"[0.15737919024814975, 0.15787569640402285, 0.1576468883576034, 0.15707224887338275, 0.15790997249963817]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
14,intention,target2,VisitorType,0.6428727955707343,"[0.6123044328552804, 0.6227124526714346, 0.6474737328109011, 0.6623341499888638, 0.6695392095271913]",0.5282257267440698,"[0.5250466694581108, 0.5204611018393217, 0.5334248268411125, 0.5296707258918083, 0.5325253096899956]",0.522888111571385,"[0.5195966432994729, 0.5103714164193583, 0.5319778067921215, 0.5257354690140126, 0.5267592223319602]",0.26710999845928207,"[0.26214024079600284, 0.23329287680229197, 0.28973497195996967, 0.2686239624015597, 0.28175794033658613]"
15,anuran,target1,Family,0.7260401202398994,"[0.7169903241232911, 0.724106999605284, 0.7207127746989967, 0.7084801140316921, 0.7599103887402328]",0.9358044081797873,"[0.9463221983665908, 0.9475531001398025, 0.9467017605141642, 0.8908348115505914, 0.9476101703277873]",0.7708513169618738,"[0.762217581967222, 0.7742109280957419, 0.7620510451478628, 0.7419754544016186, 0.813801575196924]",0.9345465161817346,"[0.9451721159110175, 0.9464112114355356, 0.9453004191713812, 0.8891524089850881, 0.9466964254056502]"
16,anuran,target3,Species,0.8793367795380987,"[0.8870795671897487, 0.8644584904850372, 0.8771732254421595, 0.869864530448951, 0.898108084124598]",0.8721105857429196,"[0.880687306363772, 0.8619825665243843, 0.874820204758868, 0.8588063850268156, 0.8842564660407584]",0.8548302377635665,"[0.8635189531270641, 0.8408032669460773, 0.8530777732449304, 0.8349223754631584, 0.8818288200366027]",0.8583660850815618,"[0.8701578433009969, 0.8448690654876971, 0.8648735411812941, 0.8393402071747276, 0.8725897682630928]"
17,anuran,target2,Genus,0.8462044226252317,"[0.8621552375339268, 0.8230823414763099, 0.8515304595302147, 0.834653360653115, 0.8596007139325925]",0.8284752618543019,"[0.8440748988506568, 0.819466600301279, 0.8419369940468131, 0.8162528989801733, 0.8206449170925877]",0.8024371777378381,"[0.8106147249441309, 0.7866367872846514, 0.8090301284965188, 0.7896545571022927, 0.8162496908615965]",0.8021887910984569,"[0.8229028374848727, 0.7971443677325144, 0.8236646302461718, 0.7908863967138662, 0.7763457233148594]"
18,telco,target1,Churn,0.7071867055430279,"[0.689753935046822, 0.7133552487996508, 0.7136020239642995, 0.7007397861779305, 0.7184825337264362]",0.7354338151882445,"[0.7214211172903925, 0.7432732984944631, 0.7375702483214657, 0.725478133837267, 0.7494262779976337]",0.7164993973087478,"[0.6989274240331784, 0.7231284243482449, 0.7225093430369787, 0.7098705211547112, 0.7280612739706263]",0.7329590540838122,"[0.7194769341845014, 0.7416481600334993, 0.7342400706755661, 0.7209173075352039, 0.74851279799029]"
19,telco,target3,PaymentMethod,0.3875337579178212,"[0.3798815976255001, 0.40300281749814226, 0.39723047019395913, 0.3820165026479052, 0.375537401623599]",0.3649678806576354,"[0.3516171677209312, 0.3775549583627157, 0.3779024294941255, 0.3636601262754547, 0.35410472143495025]",0.34833169588060675,"[0.3397099143996822, 0.3593538237192935, 0.35777237188481104, 0.3460002253157639, 0.3388221440834834]",0.30064889750025314,"[0.28691506981657017, 0.3160603746021675, 0.30614558521926055, 0.30591395516803144, 0.2882095026952361]"
