,dataset,target,avg_precision,avg_recall,avg_specificity,avg_f1,avg_geometric_mean
38,census,target3,0.1701935412462299,0.1771160952821109,0.8625102510536609,0.146380531693344,0.0
39,flight,target1,0.8474612287455745,0.8469148975126675,0.8469148975126675,0.8471797516017748,0.8466029430589481
40,flight,target2,0.7558638431892085,0.842080906313942,0.842080906313942,0.7829815501177506,0.8420468873319807
41,flight,target3,0.5032197901479912,0.5420816663077906,0.8478293438331223,0.5216337515843545,0.0
42,imdb,target1,0.5180230742874112,0.6359646954094906,0.7481394755361274,0.4382296900119131,0.5984291057160931
43,imdb,target2,0.1375926270351026,0.2382473395552752,0.8614436912918684,0.1103657424497207,0.0301117531608639
44,imdb,target3,0.7151712974403948,0.6593304271404238,0.6593304271404238,0.6423136980255825,0.5972756849528693
45,intention,target1,0.6882482562575042,0.724109893230934,0.724109893230934,0.7026290716271826,0.7079779738193123
46,intention,target2,0.5740053120532735,0.6533184117643838,0.6533184117643838,0.5024525544070287,0.6402291349904923
47,intention,target3,0.2622737378382669,0.4539193826970657,0.9512990456861964,0.2834308887516565,0.273229606366063
48,mushroom,target1,0.9949637148408076,0.9964403717943464,0.9964403717943464,0.9956871206229692,0.9964367919014396
49,mushroom,target2,0.6356963579947398,0.7297056343457659,0.8914627933926891,0.588278611748461,0.5586035808596153
50,mushroom,target3,0.6775231823189173,0.8439442903922583,0.9327260508044948,0.6963358828964382,0.8032508558022509
51,paris,target1,0.4367499999999999,0.5,0.5,0.4662383037360453,0.0
52,paris,target2,0.5043109621580945,0.5041787740071474,0.5041787740071474,0.5015064262276596,0.5000043336553535
